Company,Position
Rockwell Automation,Scrum Master
CONEXIONHR,Recruiting Lead- Talent Recruitment Specialist
Koniag Government Services,Delivery Manager Lead
Travelport,OTA Technical Account Manager
Despegar,Senior Business Operations Analyst
Cognizant,Account Manager
AFIP,Ingeniero de procesos - Nuevas Tecnologias en la Aduana
Despegar.com,General Manager
Conexión Travel Solutions,Co-Founder & Managing Director
novae,Chief Operating Officer
BairesDev,CEO
SMC Argentina S.A.,Responsable de Training
TGV,IT Recruiter
SONDA,Gerente de RRHH para Arg. y Uy.
Buffa Sistemas S.R.L.,Responsable de búsqueda y selección
Interturis (Grupo OSDE),Operation and IT Manager
eSky.pl S.A.,Product Implementation Director
Softvision,VP of Technology at Cognizant Softvision
Grupo OSDE,Asesor Comercial en Grupo OSDE
Travelport,Head of Customer Success - OTA Europe
TDT,Product Owner
Travelport,Global OTA Sales Manager
UADE,Docente Auxiliar | Introducción a la Economía & Microeconomía
Servimader SA,Head of Operations 
UADE,Coordinador de Programas Corporativos y Coordinador Enrollment MBA Intensivo
FOX Recruiting - Argentina,Founder
Emerios,BI Developer
Despegar.com,Sr. Development Manager
Ingenico ePayments,Global Relationship Manager
twistergy - Desarrollo de habilidades blandas y gestión de equipos,Asociada 
Yalo,IT Recruiter Senior
Engitech Services LLC,Chief Technology Officer
Travelport,Strategic Business Development Director
Travelport,Global Account Manager
Grupo MultiSoft,Director Software Factory Staffing Nearshore SAP Cobol Adabas-Natural AS/400 for LATAM SPAIN USA
Navent,Talent Analyst
Travelport,Senior Marketing Manager for Online Travel Agencies
Banco Santander,Especialista Senior de la Gerencia de Procesos y Tecnología
Interlat Group,Fundador & CEO
Travelport,Global OTA Customer Data & Analytics Manager
Xixtech,Headhunter - Recruiting Manager
Groupe Renault,Manager Reseau Secondaire
Despegar.com,Country Manager Argentina & Uruguay
3T Site,Gerente de Administración 
Join Solutions SRL,Practicante
San Antonio Internacional,Gerente Corporativo de Sistemas | IT Manager
Avantica,Talent Acquisition Lead
EleCe Consultores,Seleccion de Personal
Fetcher,Team Lead
Travelport,Marketing Director Latin America
Cognizant,Software Engineer
Robin Tests,CEO & Founder
Independiente / Freelance,Selectora IT
Universidad de Ciencias Empresariales y Sociales,Director del Programa Ejecutivo de tecnología e innovación en los negocios.
Farmacity,Analista Generalista de RRHH
ExxonMobil,Senior Financial Analyst
LATAM5411 - Specialized Recruitment,Equipo LATAM5411 Recruitment
Reserve,Argentina Success
QuieroMiPizarra,Fundador
Reklut | Todos los empleos a tu alcance,Coordinadora de Comunicaciones
KAVER-Consulting S.A.,Recruiting Assistant
Riva SA,Recursos Humanos
Travelport,Head of Global Corporate Online Booking Tool Partnerships
Basecodeit, Engagement Assistant
Travelport,Senior Account Manager UK and Ireland
IN FOCUS DEVELOPMENTS LTD,Director
Reklut | Todos los empleos a tu alcance,IT Operations Manager
Staffrh Consultoria en RRHH / IT,Entrepreneur - Founder at StaffRH 
Globant,Recruiting Analyst
LATAM5411 - Specialized Recruitment,Communications Head & IT Talent Manager
Black Swan Data,Director of Product Management
BAEHOST,Owner & CTO
iúnigo,Product Owner
Sankalpa Consultora,Recruiter Coordinator 
Brand Reputation PR,"Communications Consultant – Strategies, Storytelling, and Media Relations"
Travelport,VP of Product - Agent Channel
Boehringer Ingelheim,QA Analyst & Scrum Master
Despegar,Gerente de producto Postventa en Despegar
Mariana Völker - RRHH,HR Consultant - Recruiter
Travelport,Head of Commercial Finance - Americas Agency and Global Accounts
Banco Comafi,Analista Funcional Tecnica Tester
Travelport,Marketing  Manager Andean Region
Granrio S.A - Hotel Riogrande ,Coordinador Departamento Comercial
Skyscanner,Senior Product Director
Avature,Talent Acquisition Manager
Sabre Corporation,VP Travel Solutions - North America
People Coworking,Fundador
Travelport,"Global Head of Customer Success and Delivery, Air Partners"
BBVA en Argentina,HR Business Partner - Talento & Cultura
Travelport,"Sr Director, Air Commerce, Latin America"
Sabbatical & Travel,Principal
Gozio,Vice President Client Services
Self-employed,Consultant
Reklut | Todos los empleos a tu alcance,Communication Specialist - Job Portal
Onapsis Inc.,Talent Acquisition Specialist
Kapsch TrafficCom AG,Desarrollador de software
trivago,Global Facebook Ads Specialist - trivago Magazine
Telecentro,Ingenieria de Pre-Venta
Posta Cangrejo Apart,Socio Gerente
VistaDrakeLodge,Explorando Bahia
AirTickets Ltd,CEO
Travelport,VP Commercial Strategy - Americas Agency Sales
Travelport,"Senior Manager, Product Propositions, Airlines"
Expedia Group,"Global Senior Vice President & General Manager, Expedia Partner Solutions"
Estudio Juridico,Abogado Jr.
OLX Group,BI Manager
TapCoder,Director
Grupo Myth,Recursos humanos
Axonier Consultores,Recursos Humanos
HR Oasis Consultora RRHH,Managing Director
Wildlife Studios,Senior Engineering Manager
Expedia Group,"Director, Sales"
Free Lance,Selectora/ Recruiter
BeRecruiting,Co-Founder
Travelport,Senior Product Manager
eSky Group,Partnership Manager
Travelport,Customer Success Manager
Poder Judicial de la Nación,Perito psicóloga
METROTEL,Analista de cuentas Administrativo
Mercado Libre,People Business Partner Supervisor
DotTransfers,International Sales Manager
Grupo Myth,Global Key Account Manager
Despegar,Engineering Manager I
Despegar.com,Coordinador Fulfillment Support
BBVA en Argentina,Ejecutivo de desarrollo del negocio BBVA Direct
Despegar.com,Teach Lead
MediaNews Group,Head of Product and Technology
Landmark Information,Product Portfolio Director
Travelport,"Vice President, Technology"
Sauce Labs,Senior Software Engineer
ALAS Asociación Latinoamericana de Seguridad,Vicepresidente Comité Integración
Wildlife Studios,Sr TechOps
Otravo,Board Member at Otravo - CIO and Founder at Travelgenio
Wyndham Hotels & Resorts,Manager International Sales
Travelport,Manager
Recruiter,Freelance
Enel,Head of Grid Solutions Chile in ICT Solution Center Infrastructure and Networks of Enel ICT
Redeban,Director de desarrollo de productos
BeRecruiting,Co Founder
Neutrona Networks International,Senior IT Business Analyst
Hexacta,Marketing Content & Communications Coordinator
Casa Maigaki Guesthouse,Self employed
Home,Retired from the travel industry
Travelport,Head of Customer Support Americas
